post,country,clean_post,sentiment,vader_sentiment,textblob_sentiment,label,lstm_pred,lstm_sentiment
I didn't expect to like my IPhone 17 Pro Max this much...,United States,didn expect like iphone pro max much,positive,positive,positive,positive,2,positive
is there any cover that completely disables the useless camera button ?,United States,cover completely disables useless camera button,negative,negative,negative,negative,2,positive
"I cracked my phone, am I still able to get $1,100 toward the iphone 17 pro max?",United States,cracked phone still able get toward iphone pro max,positive,neutral,positive,positive,2,positive
Iphone 17 pro max: New York Times games don’t work,United States,iphone pro max new york times games don work,positive,neutral,positive,positive,2,positive
Slow speeds when connected to Carplay.,United States,slow speeds connected carplay,negative,neutral,negative,negative,2,positive
I want to order a case from dbrand iphone 17 pro max be honest is it worth the price ?,United States,want order case dbrand iphone pro max honest worth price,positive,positive,positive,positive,2,positive
what’s your favorite device setup?,United States,favorite device setup,positive,positive,positive,positive,2,positive
what’s your favorite steam link setup?,United States,favorite steam link setup,positive,positive,positive,positive,2,positive
orange phone so loud it made me forget the 17 even dropped,United States,orange phone loud made forget even dropped,negative,negative,positive,positive,2,positive
New Phone Dilemma... Advice Needed,United States,new phone dilemma advice needed,neutral,negative,positive,positive,2,positive
iPhone 17 Camera Clicking Sound - driven by iOS 26 or Hardware?,United States,iphone camera clicking sound driven ios hardware,positive,neutral,positive,positive,2,positive
General Feelings of the IPhone 17 Pro Max and IOS26,United States,general feelings iphone pro max ios,neutral,neutral,positive,positive,2,positive
iPhone 17 Pro Max Review: First Week Ownership Experience,United States,iphone pro max review first week ownership experience,positive,neutral,positive,positive,2,positive
Low power mode is very annoying on iOS26,United States,low power mode annoying ios,negative,negative,negative,negative,2,positive
Favorite slim profile magsafe wallet that can fit 4 cards?,United States,favorite slim profile magsafe wallet can fit cards,positive,positive,positive,positive,2,positive
I ordered an iphone 17 pro max on 9/15 but it’s not slated to arrive until like 11/7. Is that normal? A lot of people i know ordered theirs way later than me and already received their phones.,United States,ordered iphone pro max slated arrive like normal lot people know ordered way later already received phones,positive,positive,positive,positive,2,positive
Is the iphone 17 pro max really annoying to hold in your pocket/hand ?,United States,iphone pro max really annoying hold pocket hand,negative,positive,negative,negative,2,positive
UniFi Cloud Gateway Ultra and slow downloads from iPhone AppStore,United States,unifi cloud gateway ultra slow downloads iphone appstore,negative,neutral,negative,negative,2,positive
Iphone 17 Pro Max vs Pixel 10 Pro XL: The Answer Is Clear,United States,iphone pro max vs pixel pro xl answer clear,positive,positive,positive,positive,2,positive
Apple forced me to pay 1.1k dollars,United States,apple forced pay dollars,negative,negative,negative,negative,2,positive
iPhone 17 Pro Max | iOS26 Is Actually Crazy Battery Nightmare | Power Consumption Deep Dive,United States,iphone pro max ios actually crazy battery nightmare power consumption deep dive,negative,negative,negative,negative,2,positive
"My relative (typical marwari) Earning 10 lac per month , but still using nokia keypad and when ask to them answer is ""kya karna hai""",United States,relative typical marwari earning lac per month still using nokia keypad ask answer kya karna hai,neutral,neutral,negative,negative,2,positive
Upgraded to new iphone 17 pro max and activated it successfully last night. Then Visible reversed the activation this morning and re-activated my old phone?,United States,upgraded new iphone pro max activated successfully last night visible reversed activation morning re activated old phone,positive,positive,positive,positive,2,positive
Is the new iphone worth it?,United States,new iphone worth,positive,positive,positive,positive,2,positive
Iphone 17 pro max battery draining too fast,United States,iphone pro max battery draining fast,positive,neutral,positive,positive,2,positive
Game file now switching to new device,United States,game file switching new device,negative,neutral,negative,negative,2,positive
Spigen vs RhinoShield Camera Protectors – Are They Worth It?,United States,spigen vs rhinoshield camera protectors worth,positive,positive,positive,positive,2,positive
Google Store return new phone after trade in completed.,United States,google store return new phone trade completed,positive,neutral,positive,positive,2,positive
Upgrading from Iphone 13 to Iphone 17 Pro Max - Worth it?,United States,upgrading iphone iphone pro max worth,positive,positive,positive,positive,2,positive
ATT Unlimited Premium -> USM Dark Star Premium - Any catch?,United States,att unlimited premium usm dark star premium catch,negative,neutral,negative,negative,2,positive
I keep getting subbed to random channel I don't remember doing so.,United States,keep getting subbed random channel don remember,negative,neutral,negative,negative,2,positive
ATT is so incompetent - Upgrade eligibility gone after canceling iphone order.,United States,att incompetent upgrade eligibility gone canceling iphone order,negative,negative,negative,negative,2,positive
Transfer request canceled after the new phone delivered,United States,transfer request canceled new phone delivered,positive,neutral,positive,positive,2,positive
Any news on any new colors for the IPhone 17 Pro max?,United States,news new colors iphone pro max,positive,neutral,positive,positive,2,positive
Confused between IPhone 17 pro max or 16 Pro max 😕,United States,confused iphone pro max pro max,negative,negative,negative,negative,2,positive
Top Speaker Rattle Sound,United States,top speaker rattle sound,positive,positive,positive,positive,2,positive
Internation arrival in karachi airport coming with new iphone,Pakistan,internation arrival karachi airport coming new iphone,positive,neutral,positive,positive,2,positive
EU VER Iphone 17 Pro Max battery draining really fast,United States,eu ver iphone pro max battery draining really fast,positive,neutral,positive,positive,2,positive
EU Ver Iphone 17 Pro Max Battery draining fast,United States,eu ver iphone pro max battery draining fast,positive,neutral,positive,positive,2,positive
iphone 17 pro max battery sucks. Wtf tim apple?,United States,iphone pro max battery sucks wtf tim apple,negative,negative,negative,negative,2,positive
Iphone 17 Pro Max sound issues,United States,iphone pro max sound issues,positive,neutral,positive,positive,2,positive
Love the Ostand Q3 Air for the IPhone 17 Pro Max but..,United States,love ostand air iphone pro max,positive,positive,positive,positive,2,positive
Iphone 17 pro max 256 gb deep blue reservation jumber 213 havent changes from last week any idea how much it would take them to ship the device ?,United States,iphone pro max gb deep blue reservation jumber havent changes last week idea much take ship device,neutral,neutral,positive,positive,2,positive
New phone order horrible experience,United States,new phone order horrible experience,negative,negative,negative,negative,2,positive
What’s taking so long!,United States,taking long,neutral,neutral,negative,negative,2,positive
Osrs crashing alot on new ios 26 or iphone 17pro?,United States,osrs crashing alot new ios iphone pro,positive,neutral,positive,positive,2,positive
Unable to get expected GUDP speeds moving from iphone 13 Pro to iphone 17 pro.,United States,unable get expected gudp speeds moving iphone pro iphone pro,negative,neutral,negative,negative,2,positive
"Iphone 17 pro battery concern, apple doesnt really have an answer",United States,iphone pro battery concern apple doesnt really answer,positive,neutral,positive,positive,2,positive
Liquid glass UI working perfectly when navigation,United States,liquid glass ui working perfectly navigation,positive,positive,positive,positive,2,positive
Free Iphone 17 pro? do i still get credits if i upgrade to 18 next year?,United States,free iphone pro still get credits upgrade next year,positive,positive,positive,positive,2,positive
Iphone 17 pro screen identical to base iphone 17?,United States,iphone pro screen identical base iphone,negative,neutral,negative,negative,2,positive
Iphone 17 Pro/PM changing colour under Sun. Orange 17 IPhone Pro Max turned Rose Gold,India,iphone pro pm changing colour sun orange iphone pro max turned rose gold,positive,neutral,positive,positive,2,positive
Sec bank powermac installment,United States,sec bank powermac installment,negative,neutral,negative,negative,2,positive
IPhone 17 Pro Screen - small damage after 2 weeks,United States,iphone pro screen small damage weeks,negative,negative,negative,negative,2,positive
Slow loading speed?,United States,slow loading speed,negative,neutral,negative,negative,2,positive
First day with GR IV - my thoughts in the description,United States,first day gr iv thoughts description,positive,neutral,positive,positive,2,positive
"Got this ""25W"" 3 in 1 charging stand by Anker with display. Charges iphone 17 pro at full 25W magsafe wireless",United States,got charging stand anker display charges iphone pro full magsafe wireless,neutral,negative,positive,positive,2,positive
Apple Pre Order first timer,Philippines,apple pre order first timer,positive,neutral,positive,positive,2,positive
what is the best way to switch all data and esims on two iphones?,United States,best way switch data esims two iphones,positive,positive,positive,positive,2,positive
can i trade in my old phone after i pick up my new one?,United States,can trade old phone pick new one,positive,neutral,positive,positive,2,positive
Soft rattling sound by cameras???,United States,soft rattling sound cameras,positive,neutral,positive,positive,2,positive
I Got my Brand New IPhone 17 Pro for 74k Yen,United States,got brand new iphone pro yen,positive,neutral,positive,positive,2,positive
What Iphone would be best,United States,iphone best,positive,positive,positive,positive,2,positive
Trouble finding a case for my silver 17 Pro,United States,trouble finding case silver pro,negative,negative,negative,negative,2,positive
Trouble finding a case for my silver 17 Pro,United States,trouble finding case silver pro,negative,negative,negative,negative,2,positive
slow motion still not fixed on Iphone 17 Pro and iOS26,United States,slow motion still fixed iphone pro ios,negative,neutral,negative,negative,2,positive
"Got scammed on OLX, what are my legal options?",United States,got scammed olx legal options,positive,positive,positive,positive,2,positive
I need help with what screen protector to get for my new Iphone 17 Pro,United States,need help screen protector get new iphone pro,positive,positive,positive,positive,2,positive
"Robots: What Skin Are You Using On Your Website Page For The iPhone 17 Pro and, most importantly, is it Grippy?",United States,robots skin using website page iphone pro importantly grippy,positive,positive,positive,positive,2,positive
Iphone 17 Pro $1100 apple watch $500 and ipad $500 over 36 months w trade in deal active via verizon site,United States,iphone pro apple watch ipad months trade deal active via verizon site,positive,positive,negative,negative,2,positive
"New IPhone 17 Pro has been downloading Intelligence features for ever, how can this be fixed?",United States,new iphone pro downloading intelligence features ever can fixed,positive,positive,positive,positive,2,positive
Real life battery life of iphone 17 pro BUT with SIM card?,United States,real life battery life iphone pro sim card,positive,neutral,positive,positive,2,positive
Message failed to send - Time sensitive ? iOS 26.0.1 - iphone 17 pro,United States,message failed send time sensitive ios iphone pro,negative,negative,negative,negative,2,positive
"i’m extremely uneducated on esim, can i swap esims from another phone?",United States,extremely uneducated esim can swap esims another phone,negative,neutral,negative,negative,2,positive
iphone 17 pro display pixel frames clearly visible,United States,iphone pro display pixel frames clearly visible,positive,positive,positive,positive,2,positive
I can not hear the difference between my brand new Beyerdynamic DT 1990 Pro MK2 and my Apple Airpods 4,United States,can hear difference brand new beyerdynamic dt pro mk apple airpods,positive,neutral,positive,positive,2,positive
Iphone 17 pro slow,United States,iphone pro slow,negative,neutral,negative,negative,2,positive
Grey sunday in Copenhagen,United States,grey sunday copenhagen,neutral,positive,negative,negative,2,positive
Does Belkin screen protector for Iphone 16 Pro fit Iphone 17 pro?,United States,belkin screen protector iphone pro fit iphone pro,positive,positive,positive,positive,2,positive
iPhone 17 Pro: microphones poor for live music recording! Watch out!,United States,iphone pro microphones poor live music recording watch,negative,negative,negative,negative,2,positive
One of the first few photos with IPhone 17 Pro,United States,one first photos iphone pro,positive,neutral,positive,positive,2,positive
Iphone 17 base or Iphone 16 pro,Philippines,iphone base iphone pro,negative,neutral,negative,negative,2,positive
Selling Covered Calls is for Suckers.,United States,selling covered calls suckers,negative,negative,negative,negative,2,positive
"For iphone 17 pros/air, apple direct promo and tmobile trade in promo are same?",United States,iphone pros air apple direct promo tmobile trade promo,positive,neutral,positive,positive,2,positive
Whys iphone 17 not available at any store/authorised resellers?,United States,whys iphone available store authorised resellers,positive,neutral,positive,positive,2,positive
Please Diagnose My Mom (mental/psych),United States,please diagnose mom mental psych,positive,positive,negative,negative,2,positive
Can someone explain to me whats wrong with my mom? I’m willing to do anything to fix it.,United States,can someone explain whats wrong mom willing anything fix,negative,negative,negative,negative,2,positive
Applecare is soo confusing,United States,applecare soo confusing,negative,negative,negative,negative,2,positive
"Hi Tech_Philippines. I'm posting this using my very mid Samsung A26 5G phone. Just for comparison, how would IPhone 17 compare to the type of mid-range phone that I have, generally? I'm no techie, so i would appreciate your keeping things simple for me thank you community",Philippines,hi tech philippines posting using mid samsung phone comparison iphone compare type mid range phone generally techie appreciate keeping things simple thank community,positive,positive,positive,positive,2,positive
Confused between s25 base and iphone 17 base,United States,confused base iphone base,negative,negative,negative,negative,2,positive
Iphone 17 getting too much storage (IOS 26.0.1),United States,iphone getting much storage ios,positive,neutral,positive,positive,2,positive
Can't backup icloud to iphone 17 because previous phone was on beta version 26.1,United States,can backup icloud iphone previous phone beta version,negative,neutral,negative,negative,2,positive
Coming from Iphone13 base,United States,coming iphone base,negative,neutral,negative,negative,2,positive
Apple morgen long 🍏,United States,apple morgen long,neutral,neutral,negative,negative,2,positive
How big is the battery life difference between the iPhone 17 and 17 Pro (not Max)? Is the ~$300 extra worth it?,United States,big battery life difference iphone pro max extra worth,positive,positive,positive,positive,2,positive
Saan pinaka okay kumuha ng iPhone 17?,Philippines,saan pinaka okay kumuha ng iphone,positive,positive,positive,positive,2,positive
10 BEAUTIFUL WALLPAPERS FOR IPHONE 17 IOS 26,United States,beautiful wallpapers iphone ios,positive,positive,positive,positive,2,positive
Is iphone 17 available without preorder in your country?,United States,iphone available without preorder country,positive,neutral,positive,positive,2,positive
I ordered iphone 17 from Flipkart on September 30 and it's only going to arrive on 10th October. I stay in Mumbai and the retailer is in new delhi. Is this a serious problem?,India,ordered iphone flipkart september going arrive th october stay mumbai retailer new delhi serious problem,negative,negative,negative,negative,2,positive
I am sorry I jumped Ship to Apple !! I wish I didn't,United States,sorry jumped ship apple wish didn,negative,positive,negative,negative,2,positive
Shortcut not working due to some environment issue,United States,shortcut working due environment issue,negative,neutral,negative,negative,2,positive
"Got my first iphone ever , iphone 17",United States,got first iphone ever iphone,positive,neutral,positive,positive,2,positive
What am I missing here ?,United States,missing,negative,negative,negative,negative,2,positive
Some random Iphone 17 pics,United States,random iphone pics,negative,neutral,negative,negative,2,positive
Help me decide between s24 ultra and iphone 17 base,United States,help decide ultra iphone base,negative,positive,negative,negative,2,positive
Iphones at the best price in Kochi,India,iphones best price kochi,positive,positive,positive,positive,2,positive
S25 vs S25+ vs Iphone 17 base. Which one should I go for?,India,vs vs iphone base one go,negative,neutral,negative,negative,2,positive
Help me decide between s24 ultra and iphone 17 base,United States,help decide ultra iphone base,negative,positive,negative,negative,2,positive
Not available for pickup in HongKong,United States,available pickup hongkong,positive,neutral,positive,positive,2,positive
Why are y’all divas over chin strap hard hats.,United States,divas chin strap hard hats,negative,negative,negative,negative,2,positive
Best way to clean the IPhone 17 cameras?,United States,best way clean iphone cameras,positive,positive,positive,positive,2,positive
Top deals on Refurbished iphones on BestBuy now,United States,top deals refurbished iphones bestbuy,positive,positive,positive,positive,2,positive
good strong clear case for base iphone 17?,United States,good strong clear case base iphone,positive,positive,positive,positive,2,positive
On the Dutch Amazon I see an ez fit “pro” screen protector. What’s the difference with the regular iPhone 17 screen protector? Is the pro ez fit worth it for a regular iPhone 17?,United States,dutch amazon see ez fit pro screen protector difference regular iphone screen protector pro ez fit worth regular iphone,positive,positive,positive,positive,2,positive
New Customer!,United States,new customer,positive,neutral,positive,positive,2,positive
Is the IPhone 17 with it??? I have a iPhone 11 and I wanted to upgrade it and get a new phone since I’ve had it for so long but I wasn’t sure if iPhone 17 was worth the trade it or if a 14 is better since it’s not too old but not to new either kinda in the middle??,United States,iphone iphone wanted upgrade get new phone since ve long wasn sure iphone worth trade better since old new either kinda middle,positive,positive,positive,positive,2,positive
Is X200 FE worth for long term,United States,fe worth long term,positive,positive,positive,positive,2,positive
Testing new phone,United States,testing new phone,positive,neutral,positive,positive,2,positive
"iPhone 17 pro max moon shot, just zoom in and turn down brightness by sliding down to the right of the center box.",United States,iphone pro max moon shot zoom turn brightness sliding right center box,positive,positive,positive,positive,2,positive
"17PM, YouTube crashing out and other weird issues what to do?",United States,pm youtube crashing weird issues,negative,negative,negative,negative,2,positive
iPhone 17 Pro Max battery draining faster than expected — is this normal?,United States,iphone pro max battery draining faster expected normal,neutral,neutral,positive,positive,2,positive
iPhone 17 Pro Max vs iPhone 16 Pro Max - Which Is Best? | zollotech,United States,iphone pro max vs iphone pro max best zollotech,positive,positive,positive,positive,2,positive
iPhone 17 Pro Max took a pretty cool moon pic tonight!,United States,iphone pro max took pretty cool moon pic tonight,positive,positive,positive,positive,2,positive
Which one do you like best?,Philippines,one like best,positive,positive,positive,positive,2,positive
"Finally due for an upgrade. Should I get iPhone 17 ProMax, Galaxy s25 Ultra or wait for the s26?!",United States,finally due upgrade get iphone promax galaxy ultra wait,negative,neutral,negative,negative,2,positive
iPhone 17 pro max bad matrial 😩 dropped 16  titanium better  drop many time case same this,United States,iphone pro max bad matrial dropped titanium better drop many time case,negative,negative,positive,positive,2,positive
iPhone 17 Pro Max: First Time Moment Buyer and Beginner,United States,iphone pro max first time moment buyer beginner,positive,neutral,positive,positive,2,positive
So what case looks better on the Cosmic Orange 17 Pro Max?,United States,case looks better cosmic orange pro max,positive,positive,positive,positive,2,positive
iPhone 17 Pro Max. Cosmic Orange with a black translucent case.  I like how the colors contrast,United States,iphone pro max cosmic orange black translucent case like colors contrast,positive,positive,negative,negative,2,positive
Full moon (shot using iPhone 17 pro max),Pakistan,full moon shot using iphone pro max,positive,neutral,positive,positive,2,positive
Full moon (shot using iPhone 17 pro max),Pakistan,full moon shot using iphone pro max,positive,neutral,positive,positive,2,positive
iPhone 17 Pro Max BLE random disconnects on iOS 26 / 26.1 beta,United States,iphone pro max ble random disconnects ios beta,negative,neutral,negative,negative,2,positive
Silly question/vent about deadnaming…,United States,silly question vent deadnaming,negative,neutral,negative,negative,2,positive
How much better is iPhone 17 Pro Max Spatial Video on Vision Pro? Tested vs URSA Cine Immersive,United States,much better iphone pro max spatial video vision pro tested vs ursa cine immersive,positive,positive,positive,positive,2,positive
"Confused about eSIM with China Mobile (Ningbo number, living in Tianjin, Japan iPhone 17 Pro Max)",China,confused esim china mobile ningbo number living tianjin japan iphone pro max,negative,negative,negative,negative,2,positive
"Confused about eSIM with China Mobile (Ningbo number, living in Tianjin, Japan iPhone 17 Pro Max)",United States,confused esim china mobile ningbo number living tianjin japan iphone pro max,negative,negative,negative,negative,2,positive
Perfect time to buy an iPhone,United States,perfect time buy iphone,positive,positive,positive,positive,2,positive
Disappointed in screenprotector,United States,disappointed screenprotector,negative,negative,negative,negative,2,positive
Does shipping really take that long?,United States,shipping really take long,neutral,neutral,positive,positive,2,positive
I feel like iPhone 17 pro (max) very slippery. Is that true?,United States,feel like iphone pro max slippery true,positive,positive,positive,positive,2,positive
iPhone 17 Pro Max is more than I need but I love it. Going dual phone for at least a year.,United States,iphone pro max need love going dual phone least year,positive,positive,positive,positive,2,positive
Best cases? iPhone 17 pro max,United States,best cases iphone pro max,positive,positive,positive,positive,2,positive
Best cases?,United States,best cases,positive,positive,positive,positive,2,positive
Is it safe to stick an adhesive MagSafe ring lower on the iPhone 17 Pro Max?,United States,safe stick adhesive magsafe ring lower iphone pro max,positive,positive,positive,positive,2,positive
Is it safe to stick an adhesive MagSafe ring lower on the iPhone 17 Pro Max?,United States,safe stick adhesive magsafe ring lower iphone pro max,positive,positive,positive,positive,2,positive
"Media loading very slow, or not at all",United States,media loading slow,negative,neutral,negative,negative,2,positive
"iPhone 17 Pro Max users, after a while have you felt like the size and weight is just too much?",United States,iphone pro max users felt like size weight much,positive,positive,positive,positive,2,positive
Incredible Battery Life,United States,incredible battery life,positive,neutral,positive,positive,2,positive
Delay on the new iPhones?,United States,delay new iphones,negative,negative,positive,positive,2,positive
Unable To Install ESIM On New iPhone 17 Pro Max,United States,unable install esim new iphone pro max,negative,neutral,negative,negative,2,positive
My iPhone 17? pro Max loses 4 % after restarting it(For a second time in 4 days),United States,iphone pro max loses restarting second time days,negative,negative,negative,negative,2,positive
iPhone17 Pro Max speaker soft or hardware issue,United States,iphone pro max speaker soft hardware issue,positive,neutral,positive,positive,2,positive
Better offer than $830 off iPhone 17 pro max on unlimited welcome?,United States,better offer iphone pro max unlimited welcome,positive,positive,positive,positive,2,positive
Curious glitch or iOS limit? 48MP RAW on ProCamera forces HDR ON - can anyone confirm?,Brazil,curious glitch ios limit mp raw procamera forces hdr can anyone confirm,positive,positive,negative,negative,2,positive
Reliable place to buy iPhone 17 and trade in my old phone,Pakistan,reliable place buy iphone trade old phone,positive,neutral,positive,positive,2,positive
Is it just me or the aptic feedback sucks?,United States,aptic feedback sucks,negative,negative,negative,negative,2,positive
How Many Hours Of Work Pay For An iPhone 17,India,many hours work pay iphone,positive,negative,positive,positive,2,positive
How Many Hours Of Work Pay For An iPhone 17,India,many hours work pay iphone,positive,negative,positive,positive,2,positive
Transferring to new iPhone without Updating,United States,transferring new iphone without updating,positive,neutral,positive,positive,2,positive
My first shots with the iPhone 17 Pro Max in Berlin,United States,first shots iphone pro max berlin,positive,neutral,positive,positive,2,positive
My first shots with the iPhone 17 Pro Max in Berlin,United States,first shots iphone pro max berlin,positive,neutral,positive,positive,2,positive
Game needs a patch,United States,game needs patch,negative,neutral,negative,negative,2,positive
People doing Apple vs Samsung. While vivo sits at the top.,United States,people apple vs samsung vivo sits top,positive,positive,positive,positive,2,positive
17 Pro Max inkl. returresa New York,Sweden,pro max inkl returresa new york,positive,neutral,positive,positive,2,positive
"By now everyone knows that the new iPhone 17 Pro Max is available in Gaza, but is anyone buying? Light Phone on Wahda St. Gaza City show Mahmoud Rayan buying one from them for 40,000 shekels in installments!!! Timestamp: 1 day ago",United States,everyone knows new iphone pro max available gaza anyone buying light phone wahda st gaza city show mahmoud rayan buying one shekels installments timestamp day ago,positive,neutral,positive,positive,2,positive
Which case looks best on the Silver iPhone 17 Pro Max?,United States,case looks best silver iphone pro max,positive,positive,positive,positive,2,positive
iPhone 17 pro max haptic randomly working,United States,iphone pro max haptic randomly working,negative,neutral,negative,negative,2,positive
"Dropped my 17 PM (in a case) for the first time - guess what, nothing happened.",United States,dropped pm case first time guess nothing happened,positive,neutral,positive,positive,2,positive
Vivo X300 Pro/Ultra - No RAW Video like iPhone 17 Pro (Max)?,United States,vivo pro ultra raw video like iphone pro max,positive,positive,negative,negative,2,positive
She bought an iPhone 17 Pro Max… and asked for stainless-steel cleaner,United States,bought iphone pro max asked stainless steel cleaner,positive,positive,positive,positive,2,positive
The Real Cost of the iPhone 17 Pro Max: What’s Behind Apple’s Billion-Dollar Pricing Machine - NEWS NEST,United States,real cost iphone pro max behind apple billion dollar pricing machine news nest,negative,neutral,negative,negative,2,positive
The Real Problem with the iPhone Air,United States,real problem iphone air,negative,negative,positive,positive,2,positive
"Random mmWave, downtown Denver on AT&T",United States,random mmwave downtown denver,negative,neutral,negative,negative,2,positive
"I feel like my soul is dead, while my body is alive. I have to come out with how I feel because I’ve kept it in me for too long.",United States,feel like soul dead body alive come feel ve kept long,negative,negative,negative,negative,2,positive
"I feel like my soul is dead, while my body is alive. I have to come out with how I feel because I’ve kept it in me for too long.",United States,feel like soul dead body alive come feel ve kept long,negative,negative,negative,negative,2,positive
Do you find that most experiences and interactions in life are just more awful now?,United States,find experiences interactions life awful,negative,negative,negative,negative,2,positive
Do you find that most experiences and interactions in life are just more awful now?,United States,find experiences interactions life awful,negative,negative,negative,negative,2,positive
"What can Apple users, who have made the switch, tell me are the main differences I'd experience switching from my pixel?",United States,can apple users made switch tell main differences experience switching pixel,positive,neutral,positive,positive,2,positive
Slim & Strong! Benks Kevlar Fiber Cases for iPhone 17 Pro Max,United States,slim strong benks kevlar fiber cases iphone pro max,positive,positive,positive,positive,2,positive
"iPhone 17 Pro Max Preorder Delivery Timeline ,what’s the Usual Trend?",India,iphone pro max preorder delivery timeline usual trend,negative,neutral,negative,negative,2,positive
"New Phone, New Setup",United States,new phone new setup,positive,neutral,positive,positive,2,positive
Maxwells refuse to connect to new iPhone 17 pro max through the app.,United States,maxwells refuse connect new iphone pro max app,negative,negative,positive,positive,2,positive
Anyone else’s battery for iPhone 17 Pro Max draining very fast after updating to ios 26.1?,United States,anyone else battery iphone pro max draining fast updating ios,positive,neutral,positive,positive,2,positive
Why is FLOLAB low ratings and ships late?,United States,flolab low ratings ships late,negative,negative,negative,negative,2,positive
Cancelled.. Reordered from Best Buy,United States,cancelled reordered best buy,positive,positive,positive,positive,2,positive
Are there any major problems with the iPhone 17 yet?  Does it have scratching or denting issues like some of the Pro models do?,United States,major problems iphone yet scratching denting issues like pro models,neutral,negative,positive,positive,2,positive
"I don’t want an iPhone 17/Air, but this design concept has me curious",Brazil,don want iphone air design concept curious,positive,positive,negative,negative,2,positive
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,United States,beyond box unveils pre order freebies iphone series worth php,positive,positive,positive,positive,2,positive
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,United States,beyond box unveils pre order freebies iphone series worth php,positive,positive,positive,positive,2,positive
First Design: A Wavy MagSafe Charging Dock,United States,first design wavy magsafe charging dock,positive,neutral,positive,positive,2,positive
I just don’t understand the hate Apple can get,United States,don understand hate apple can get,negative,negative,negative,negative,2,positive
Super Moon Shot,United States,super moon shot,positive,positive,positive,positive,2,positive
USB port on the iPhone 17 is just as fast as the one on the iPod nano 19 years ago.,United States,usb port iphone fast one ipod nano years ago,positive,neutral,positive,positive,2,positive
"My estimated shipping date changed to the past, what does this mean?",United States,estimated shipping date changed past mean,negative,neutral,negative,negative,2,positive
Top part of my iPhone 17 Pro screen looks a bit brighter than the bottom — normal?,United States,top part iphone pro screen looks bit brighter bottom normal,positive,positive,positive,positive,2,positive
Finally upgrading and I’m sad,United States,finally upgrading sad,negative,negative,negative,negative,2,positive
Love these cameras! iPhone 17 Pro edited in Lightroom,United States,love cameras iphone pro edited lightroom,positive,positive,positive,positive,2,positive
Is 'blue shift' when turning the phone normal on OLED iPhones?,United States,blue shift turning phone normal oled iphones,neutral,neutral,positive,positive,2,positive
iPhone 15 Pro Max: to fix or not to fix? It hates non genuine Apple parts,United States,iphone pro max fix fix hates non genuine apple parts,neutral,negative,positive,positive,2,positive
Het Ontstaan van Fair Repair,United States,het ontstaan van fair repair,positive,positive,positive,positive,2,positive
